Player,Pos,School,Conference,State,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Keeanu Benton,DT,Wisconsin,Big Ten,Wisconsin,6-4,309,5.08,29.5,25.0,111.0,7.34,4.65
Matthew Bergeron,OT,Syracuse,ACC,New York,6-5,318,,30.5,,103.0,,
Tank Bigsby,RB,Auburn,SEC,Alabama,6-0,210,4.56,32.5,,119.0,,
Mekhi Blackmon,CB,USC,PAC-12,California,5-11,178,4.47,36.0,11.0,125.0,,
Jake Bobo,WR,UCLA,PAC-12,California,6-4,206,,,,,,
Kayshon Boutte,WR,LSU,SEC,Louisiana,5-11,195,4.5,29.0,,118.0,,4.25
Lance Boykin,CB,Coastal Carolina,Sun Belt,South Carolina,6-2,200,,,13.0,124.0,,
Anthony Bradford,G,LSU,SEC,Louisiana,6-4,332,5.08,30.0,,106.0,7.84,4.8
Brian Branch,CB,Alabama,SEC,Alabama,6-0,190,4.58,34.5,14.0,125.0,,
Julius Brents,CB,Kansas St.,Big 12,Kansas,6-3,198,4.53,41.5,,138.0,6.63,4.05
Bryan Bresee,DT,Clemson,ACC,South Carolina,6-6,298,4.86,29.0,22.0,,,
Nick Broeker,G,Mississippi,SEC,Mississippi,6-4,305,5.27,,,,7.75,4.7
Jalen Brooks,WR,South Carolina,SEC,South Carolina,6-1,201,4.69,35.0,,130.0,7.15,4.31
Myles Brooks,CB,Louisiana Tech,Conference USA,Louisiana,6-1,201,,,,,,
Matthew Brooks,P,Tennessee,SEC,Tennessee,6-5,201,,,,,,
Cameron Brown,CB,Ohio St.,Big Ten,Ohio,6-0,199,,,,,,
Chase Brown,RB,Illinois,Big Ten,Illinois,5-10,209,4.43,40.0,,127.0,,
Ji'Ayir Brown,SAF,Penn St.,Big Ten,Pennsylvania,5-11,203,4.65,32.5,18.0,119.0,,
Sydney Brown,SAF,Illinois,Big Ten,Illinois,5-10,211,4.47,40.5,23.0,130.0,,
Jason Brownlee,WR,Southern Mississippi,Conference USA,Mississippi,6-2,198,4.59,39.5,16.0,131.0,,
Arquon Bush,CB,Cincinnati,AAC,Ohio,6-0,187,4.54,33.5,,115.0,,
Jack Campbell,LB,Iowa,Big Ten,Iowa,6-5,249,4.65,37.5,,128.0,6.74,4.24
Anders Carlson,K,Auburn,SEC,Alabama,6-5,218,,,,,,
Jalen Carter,DT,Georgia,SEC,Georgia,6-3,314,,,,,,
Zach Charbonnet,RB,UCLA,PAC-12,California,6-0,214,4.53,37.0,,122.0,,
Jerrod Clark,DT,Coastal Carolina,Sun Belt,South Carolina,6-4,334,5.25,27.5,,102.0,7.6,4.83
Kei'Trel Clark,CB,Louisville,ACC,Kentucky,5-10,181,4.42,34.5,,122.0,,4.21
Keondre Coburn,DT,Texas,Big 12,Texas,6-2,332,5.22,27.5,24.0,101.0,,
Chamarri Conner,SAF,Virginia Tech,ACC,Virginia,6-0,202,4.51,40.5,20.0,125.0,,
Jacob Copeland,WR,Maryland,Big Ten,Maryland,5-11,201,4.42,33.0,20.0,127.0,7.01,4.47
Brenton Cox,EDGE,Florida,SEC,Florida,6-4,250,4.82,33.0,24.0,115.0,,
Malik Cunningham,QB,Louisville,ACC,Kentucky,6-0,192,4.53,,,,,
McClendon Curtis,G,Tennessee-Chattanooga,Southern Conference,Tennessee,6-6,324,5.24,26.5,,105.0,7.7,4.97
DJ Dale,DT,Alabama,SEC,Alabama,6-1,302,5.26,25.5,,98.0,7.69,4.8
Braeden Daniels,OT,Utah,PAC-12,Utah,6-4,294,4.99,30.5,,109.0,7.53,4.6
Derius Davis,WR,TCU,Big 12,Texas,5-8,165,4.36,,,,,4.38
Nathaniel Dell,WR,Houston,AAC,Texas,5-8,165,4.49,,,121.0,,
SirVocea Dennis,LB,Pittsburgh,ACC,Pennsylvania,6-1,226,,,19.0,,,
Gervon Dexter,DT,Florida,SEC,Florida,6-6,310,4.88,31.0,22.0,110.0,7.5,
YaYa Diaby,DE,Louisville,ACC,Kentucky,6-3,263,4.51,37.0,,120.0,,
Demario Douglas,WR,Liberty,Conference USA,Virginia,5-8,179,4.44,39.5,,134.0,,4.29
Josh Downs,WR,North Carolina,ACC,North Carolina,5-9,171,4.48,38.5,,131.0,,
Grant DuBose,WR,Charlotte,Conference USA,North Carolina,6-2,201,4.57,35.0,,125.0,6.89,4.32
Max Duggan,QB,TCU,Big 12,Texas,6-2,207,4.52,30.5,,116.0,7.26,4.45
Jaelyn Duncan,OT,Maryland,Big Ten,Maryland,6-6,306,5.1,31.5,,113.0,,
Christopher Dunn,K,North Carolina St.,ACC,North Carolina,5-8,175,,,,,,
Payne Durham,TE,Purdue,Big Ten,Indiana,6-6,253,,34.5,,117.0,,
Travis Dye,RB,USC,PAC-12,California,5-10,201,,,,,,
Ikenna Enechukwu,DE,Rice,Conference USA,Texas,6-4,264,4.7,31.5,,120.0,,
Tiyon Evans,RB,Louisville,ACC,Kentucky,5-10,225,4.52,30.5,,,,
Zach Evans,RB,Mississippi,SEC,Mississippi,5-11,202,,,,,,
Zay Flowers,WR,Boston Col.,ACC,Massachusetts,5-9,182,4.42,35.5,,127.0,,
Emmanuel Forbes,CB,Mississippi St.,SEC,Mississippi,6-1,166,4.35,37.5,,131.0,,
Bryce Ford-Wheaton,WR,West Virginia,Big 12,West Virginia,6-4,221,4.38,41.0,,129.0,6.97,4.15
Alex Forsyth,C,Oregon,PAC-12,Oregon,6-4,303,,20.5,,95.0,,
Isaiah Foskey,EDGE,Notre Dame,Independent,Indiana,6-5,264,4.58,34.0,22.0,125.0,7.28,4.41
Blake Freeland,OT,BYU,Independent,Utah,6-8,302,4.98,37.0,,120.0,7.46,4.71
Jon Gaines,G,UCLA,PAC-12,California,6-4,303,5.01,32.5,,114.0,7.31,4.45
Connor Galvin,OT,Baylor,Big 12,Texas,6-7,293,5.48,30.5,,104.0,8.0,4.92
Mekhi Garner,CB,LSU,SEC,Louisiana,6-2,212,4.55,38.0,,128.0,,
Ali Gaye,EDGE,LSU,SEC,Louisiana,6-6,263,,,,,,
Jahmyr Gibbs,RB,Alabama,SEC,Alabama,5-9,199,4.36,33.5,,,,
Noah Gindorff,TE,North Dakota St.,MVFC,North Dakota,6-6,263,,,16.0,,,
Christian Gonzalez,CB,Oregon,PAC-12,Oregon,6-1,197,4.38,41.5,14.0,133.0,,
Richard Gouraige,OT,Florida,SEC,Florida,6-5,306,,,,,,
Jalen Graham,LB,Purdue,Big Ten,Indiana,6-2,220,4.64,30.5,,112.0,,
Eric Gray,RB,Oklahoma,Big 12,Oklahoma,5-10,207,,37.5,,118.0,,
Antoine Green,WR,North Carolina,ACC,North Carolina,6-2,199,4.47,33.5,,123.0,6.99,4.27
Jovaughn Gwyn,G,South Carolina,SEC,South Carolina,6-2,297,5.12,27.5,,109.0,7.9,4.8
Jake Haener,QB,Fresno St.,Mountain West,California,6-0,207,,35.0,,114.0,7.01,
Derick Hall,EDGE,Auburn,SEC,Alabama,6-3,254,4.55,33.5,,127.0,,
Jaren Hall,QB,BYU,Independent,Utah,6-0,207,,,,,,
Nick Hampton,EDGE,Appalachian St.,Sun Belt,North Carolina,6-2,236,4.58,35.5,,120.0,,
Anton Harrison,OT,Oklahoma,Big 12,Oklahoma,6-4,315,4.98,28.5,,105.0,,
Zach Harrison,EDGE,Ohio St.,Big Ten,Ohio,6-6,274,,,25.0,,,
Jadon Haselwood,WR,Arkansas,SEC,Arkansas,6-2,215,4.66,37.0,,123.0,6.98,4.31
Ryan Hayes,OT,Michigan,Big Ten,Michigan,6-6,298,5.18,30.0,,103.0,7.39,
Malik Heath,WR,Mississippi,SEC,Mississippi,6-2,213,4.64,34.0,,124.0,6.96,4.46
